PE841,PE841,Los Cerezos / Diagonal Los Castaños,-33.5132256,-70.57691
PG836,PG836,Lautaro / Venancia Leiva,-33.557888,-70.633934
PH757,PH757,Av. Pdte. Allende / M. De Toro Y Zambrano,-33.49544,-70.63373
PE848,PE848,Parada 3 / (M) Los Quillayes,-33.56056,-70.58557
PE849,PE849,Parada 3 / Paradero 26 Vicuña Mackenna,-33.563427,-70.5850449
PH690,PH690,Huasco / Lucila Godoy,-33.5155449,-70.6804047
PH756,PH756,Emb. Noel / M. De Toro Y Zambrano,-33.4934921,-70.63361
PD218,PD218,Dublé Almeyda / Av. Vespucio,-33.4606323,-70.5726852
PI339,PI339,Parada 3 / Concón,-33.4552536,-70.69595
PB728,PB728,Santa Ana / Av. Zapadores,-33.3938828,-70.632576
PB729,PB729,San José / Av. Zapadores,-33.39519,-70.6299
PH691,PH691,Av. Pdte. Allende / Huasco,-33.5176163,-70.68132
PC118,PC118,Bocaccio / Av. Padre Hurtado,-33.40072,-70.54453
PC119,PC119,Edimburgo / Av. Padre Hurtado,-33.4024544,-70.54443
PC116,PC116,G. Fuenzalida / Av. Las Condes,-33.392086,-70.54305
PC117,PC117,El Alamein / Av. Padre Hurtado,-33.3963356,-70.54447
PC114,PC114,Parada 10 / (M) Escuela Militar,-33.41436,-70.58483
PC115,PC115,Parr. Santa María / Av. Las Condes,-33.38759,-70.53903
PC112,PC112,Sebastián Elcano / Av. Bilbao,-33.4309845,-70.56934
PC110,PC110,Latadía / Av. Manquehue Sur,-33.4271164,-70.56419
PC111,PC111,Av. Bilbao / Av. Manquehue Sur,-33.4306335,-70.56514
PE566,PE566,Perú / José Miguel Carrera,-33.5499458,-70.58277
PJ86,PJ86,Puerto Rico / Av. Teniente Cruz,-33.43819,-70.74067
PJ118,PJ118,Parada 1 / Consultorio Pudahuel Poniente,-33.4421768,-70.76452
PB99,PB99,Selinonte / Av. Vicuña Mackenna,-33.4073563,-70.74593
PC1042,PC1042,Basel (Norte) / Av. Paseo Pie Andino,-33.326828,-70.514
PC1043,PC1043,Berna / Av. Paseo Pie Andino,-33.3265038,-70.51772
PC1040,PC1040,P. De La Aguada / Av. José Alcalde Délano,-33.3634262,-70.5443954
PC1041,PC1041,Cam. A Farellones / Av. Las Condes,-33.3670349,-70.499054
PC1046,PC1046,Totoralillo / Alejandro Fleming,-33.423748,-70.53441
PC1047,PC1047,Cerro San Ramón / Camino El Alba,-33.4005623,-70.51346
PJ79,PJ79,Parada 1 / Oceanía - Laguna Sur,-33.4594269,-70.75639
PJ78,PJ78,Consultorio Dr. Gustavo Molina,-33.4585571,-70.76097
PJ77,PJ77,Lebreles / Av. Laguna Sur,-33.4589767,-70.76411
PJ76,PJ76,Av. Vespucio / Av. Los Mares,-33.46342,-70.76287
PJ75,PJ75,Av. Los Mares / Oceanía,-33.4645958,-70.75743
PJ74,PJ74,Mira / Oceanía,-33.4617767,-70.7567139
PJ73,PJ73,Parada 2 / Oceanía - Laguna Sur,-33.4592857,-70.75589
PJ72,PJ72,Parada 3 / (M) Barrancas,-33.4518738,-70.7391739
PJ71,PJ71,Corona Sueca / Av. Teniente Cruz,-33.4498558,-70.73934
PJ70,PJ70,26ª Comisaría,-33.44777,-70.73951
PJ415,PJ415,Milán / Av. José Joaquín Pérez,-33.4293976,-70.73518
PJ141,PJ141,Bismarck / Martínez De Rozas,-33.43552,-70.69564
PG729,PG729,Frida Khalo / Av. Portales,-33.62908,-70.70342
PG728,PG728,Molymet / Av. Portales,-33.6323853,-70.70476
PB539,PB539,Pdte. Bulnes / Av. Lo Marcoleta,-33.3597221,-70.7431259
PB538,PB538,San Enrique / Av. Lo Marcoleta,-33.3604164,-70.7454
PG721,PG721,Ensenada / Camino Los Morros,-33.63912,-70.68049
PG720,PG720,Los Reales / Camino Los Morros,-33.63937,-70.6777
PG723,PG723,Fundo La Marina / Camino Los Morros,-33.6394348,-70.68761
PG722,PG722,Parronales / Camino Los Morros,-33.63909,-70.68544
PB537,PB537,Volcán Copahue / Av. Lo Marcoleta,-33.36099,-70.7483139
PB536,PB536,Volcán D'Arguelle / Av. Lo Marcoleta,-33.3616142,-70.75175
PG727,PG727,G. De La Huerta / Av. Portales,-33.6347656,-70.70639
PG726,PG726,Parada 4 / Estación Nos,-33.6375923,-70.70725
PI341,PI341,Parada 1 / (M) U. De Santiago,-33.45303,-70.6865845
PI340,PI340,Parada 3 / (M) A. Hurtado,-33.4538879,-70.68987
PD263,PD263,Av. Vespucio / Av. José Arrieta,-33.459137,-70.5716858
PI342,PI342,Parada 1 / San Borja,-33.4518,-70.68101
PD265,PD265,Alejandro Ríos / Av. Vespucio,-33.4723434,-70.57748
PI344,PI344,Parada 4 / San Borja,-33.4515648,-70.68182
PD267,PD267,Las Madreselvas / Av. Vespucio,-33.481987,-70.5795059
PI610,PI610,Parada 3 / Estadio Santiago Bueras,-33.510067,-70.74723
PD269,PD269,T. De Los Andes / Av. Vespucio,-33.49503,-70.58433
PD268,PD268,Peatones 3 / Av. Vespucio,-33.49163,-70.58228
PI619,PI619,Grumete Quinteros / Héctor Fuenzalida,-33.5385971,-70.78018
PI618,PI618,Calderilla / Héctor Fuenzalida,-33.53637,-70.7769547
PF241,PF241,San Guillermo / Av. Eyzaguirre,-33.6166039,-70.60934
PC191,PC191,Parada 2 / Biblioteca Providencia,-33.42728,-70.61697
PI842,PI842,Parada 12 / (M) Las Rejas,-33.4585,-70.7056
PI843,PI843,Juan De Dios R. / Las Violetas,-33.45931,-70.70677
PG408,PG408,Industria / Av. Vespucio,-33.5338631,-70.67548
PD348,PD348,Av. Salvador / Dublé Almeyda,-33.4541779,-70.62079
PI841,PI841,Parada 9 / (M) A. Hurtado,-33.4538651,-70.69244
PI846,PI846,Los Jazmines / Av. Aeropuerto,-33.46137,-70.71187
PI847,PI847,Av. Las Parcelas / Av. Aeropuerto,-33.4634132,-70.7116241
PB1021,PB1021,C. Férreas / Roma,-33.3514633,-70.71706
